Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-28400,68079;57109,36158;57751,80347
LG;+G+F;153;-28402,78102;57111,56204;57749,83223
RtREV;+G+I+F;154;-28490,80834;57289,61668;57932,05857
LG;+G+I;135;-28567,31500;57404,63000;57967,80958
LG;+G;134;-28569,91297;57407,82594;57966,83382
MtZoa;+G+I+F;154;-28623,91022;57555,82044;58198,26233
WAG;+G+I+F;154;-28674,02162;57656,04324;58298,48513
VT;+G+I+F;154;-28725,24928;57758,49856;58400,94045
CpREV;+G+I+F;154;-28756,22364;57820,44728;58462,88917
Blosum62;+G+I+F;154;-28788,95172;57885,90344;58528,34533
JTT;+G+I+F;154;-28791,55069;57891,10138;58533,54327
MtArt;+G+I+F;154;-28816,73380;57941,46760;58583,90949
Dayhoff;+G+I+F;154;-28890,35398;58088,70796;58731,14985
DCMut;+G+I+F;154;-28892,45226;58092,90452;58735,34641
VT;+G+I;135;-28934,99300;58139,98600;58703,16558
Blosum62;+G+I;135;-28974,67256;58219,34512;58782,52470
MtREV;+G+I+F;154;-28994,09958;58296,19916;58938,64105
Flu;+G+I+F;154;-29128,84751;58565,69502;59208,13691
HIVb;+G+I+F;154;-29176,39002;58660,78004;59303,22193
MtMam;+G+I+F;154;-29396,21823;59100,43646;59742,87835
AB;+G+I+F;154;-29552,26791;59412,53582;60054,97771
HIVw;+G+I+F;154;-29877,35382;60062,70764;60705,14953
