Model;Decoration;K;Llk;AIC;BIC
LG;+G+I+F;154;-117976,37152;236260,74304;237165,86220
LG;+G+F;153;-118021,14485;236348,28970;237247,53146
RtREV;+G+I+F;154;-118216,14376;236740,28752;237645,40668
LG;+G+I;135;-118409,45072;237088,90144;237882,35006
LG;+G;134;-118455,93569;237179,87138;237967,44260
WAG;+G+I+F;154;-118476,15802;237260,31604;238165,43520
VT;+G+I+F;154;-118548,46294;237404,92588;238310,04504
Blosum62;+G+I+F;154;-118874,78810;238057,57620;238962,69536
VT;+G+I;135;-118934,23673;238138,47346;238931,92208
CpREV;+G+I+F;154;-119104,87453;238517,74906;239422,86822
JTT;+G+I+F;154;-119144,60828;238597,21656;239502,33572
MtZoa;+G+I+F;154;-119514,51115;239337,02230;240242,14146
DCMut;+G+I+F;154;-119560,58892;239429,17784;240334,29700
Dayhoff;+G+I+F;154;-119561,46965;239430,93930;240336,05846
JTT;+G+I;135;-119837,09565;239944,19130;240737,63992
MtREV;+G+I+F;154;-120204,44624;240716,89248;241622,01164
MtArt;+G+I+F;154;-120392,91680;241093,83360;241998,95276
Flu;+G+I+F;154;-120734,39325;241776,78650;242681,90566
HIVb;+G+I+F;154;-120844,41443;241996,82886;242901,94802
AB;+G+I+F;154;-121950,64752;244209,29504;245114,41420
MtMam;+G+I+F;154;-122206,53712;244721,07424;245626,19340
HIVw;+G+I+F;154;-123786,71176;247881,42352;248786,54268
